Date,Open,High,Low,Close,Volume,Adj Close
2015-08-06,128.960007,129.449997,128.649994,128.809998,278800,128.809998
2015-08-05,128.660004,128.979996,128.169998,128.309998,476500,128.309998
2015-08-04,131.369995,131.389999,128.380005,129.850006,515200,129.850006
2015-08-03,132.440002,133.389999,132.00,133.179993,315100,133.179993
2015-07-31,133.509995,133.710007,133.050003,133.460007,226200,133.460007
2015-07-30,132.00,132.429993,131.25,132.270004,270100,132.270004
2015-07-29,131.710007,132.839996,131.600006,132.570007,212500,132.570007
2015-07-28,131.080002,131.919998,130.369995,131.839996,383500,131.839996
2015-07-27,131.50,131.869995,131.210007,131.789993,187700,131.789993
2015-07-24,133.619995,133.889999,132.320007,132.550003,130200,132.550003
2015-07-23,133.690002,133.919998,133.080002,133.25,196100,133.25
2015-07-22,133.800003,134.429993,133.800003,133.990005,196400,133.990005
2015-07-21,134.910004,135.029999,134.149994,134.559998,200500,134.559998
2015-07-20,135.789993,136.110001,135.410004,135.539993,352500,135.539993
2015-07-17,134.699997,135.490005,134.699997,135.360001,186100,135.360001
2015-07-16,136.240005,136.389999,135.660004,135.770004,441200,135.770004
2015-07-15,134.070007,134.619995,133.789993,133.990005,294100,133.990005
2015-07-14,133.130005,133.699997,132.929993,133.449997,195300,133.449997
2015-07-13,133.020004,133.619995,133.020004,133.440002,214900,133.440002
2015-07-10,130.559998,131.869995,129.919998,131.520004,401900,131.520004
2015-07-09,130.160004,130.529999,128.929993,129.029999,186900,129.029999
2015-07-08,130.110001,130.139999,127.940002,128.110001,717300,128.110001
2015-07-07,132.259995,132.539993,130.75,132.380005,288600,132.380005
2015-07-06,132.25,133.100006,132.130005,132.729996,132000,132.729996
2015-07-02,132.720001,132.929993,132.429993,132.75,276800,132.75
2015-07-01,133.720001,133.839996,133.139999,133.600006,157100,133.600006
2015-06-30,134.220001,134.479996,133.550003,133.75,216300,133.75
2015-06-29,134.100006,134.130005,132.399994,132.449997,191100,132.449997
2015-06-26,135.339996,135.880005,135.149994,135.460007,138900,135.460007
2015-06-25,135.350006,135.509995,134.850006,134.869995,180800,134.869995
2015-06-24,136.009995,136.009995,135.330002,135.399994,149000,135.399994
